user_id,interests_text,math_grade,science_grade,language_grade
u_0084,time natural tensorflow analytics grammar (economics) information leadership architecture neural,100,87,56
u_0085,behavior optimization memory arts-and-humanities microsoft social-sciences case mechanical project language-learning,69,90,66
u_0086,linear hypothesis project machine medical networks human strategic information-technology,80,84,63
u_0087,ordered supply economics change difference,74,40,62
u_0088,neural supply business-strategy solving global digital writing,71,60,94
u_0089,data i-deas mechanical-engineering marketing google model probability strategy,57,69,76
u_0090,language economy leadership totient regression learning case algorithms entrepreneurship social-sciences,92,57,88
u_0091,measurement history linear systems microsoft virtual pair theory,75,63,80
u_0092,medicine i-deas speech history system java,77,67,75
u_0093,design-and-product project java cost behavior,70,76,82
u_0094,processing speech energy cloud presentation child computer-security-and-networks euler's,94,60,100
u_0095,platforms biology javascript chemistry modeling,51,73,82
u_0096,language accounting mechanical networks hypothesis theory strategy basic-science decision,78,67,72
u_0097,programming global physics process interface resource materials,69,67,85
u_0098,policy algorithms information computing syntax database probability (economics),79,66,85
u_0099,learning-english databases microsoft information syntax presentation personal-development testing euler's,78,84,82
u_0100,business-strategy culture euler's solving strategic,65,68,83
u_0101,(computer measurement supply neural leadership performance economics information-technology grammar,82,74,76
u_0102,game ordered teaching business-strategy brand virtual,90,67,81
u_0103,visualization analysis training psychology machine entrepreneurship corporate,72,72,88
u_0104,physics visualization entrepreneurship child artificial decision classification investment,84,84,90
u_0105,finance public analytics optimization excel,75,83,71
u_0106,internet hypothesis design-and-product theory artificial image,78,73,76
u_0107,accounting problem cryptography sustainability music-and-art game virtual difference (economics),82,65,100
u_0108,digital statistics modeling corporate leadership-and-management innovation cryptography,62,60,88
u_0109,child risk leadership-and-management systems electronics databases evaluation memory platform,84,82,82
u_0110,brand media planning leadership-and-management public experience resource computing biology,74,64,75
u_0111,policy mechanical social-sciences evaluation design,66,86,73
u_0112,image business-essentials platforms social-sciences html,65,71,79
u_0113,python programming patient media deep relative music teaching,68,65,77
u_0114,marketing digital relative history software mobile-and-web-development,77,68,69
u_0115,life-sciences cost service javascript marketing function linear biology,77,57,58
u_0116,totient modeling visualization value medicine,66,72,78
u_0117,electrical-engineering model database supply culture science statistical platform networks,92,85,73
u_0118,test electrical-engineering engineering (computer electronics planning research,74,62,74
u_0119,change user hypothesis writing social entrepreneurship network image cloud management,71,78,65
u_0120,culture child brand deep business-essentials computer-science statistics general,81,93,73
u_0121,media virtual difference life-sciences javascript statistics user computer-security-and-networks platform hypothesis,79,83,70
u_0122,problem history natural model decision function,77,75,76
u_0123,software-development life-sciences engineering arts-and-humanities internet brand i-deas,65,75,80
u_0124,general music market microsoft child biology virtual optimization (economics),92,86,100
u_0125,mechanical-engineering performance music writing chemistry language interface time testing,65,85,77
u_0126,digital project finance experience international cost platform learning personal-development,100,65,64
u_0127,language economy network deep training probability science business-strategy information-technology,67,49,68
u_0128,information materials physics finance deep google thought application testing,65,76,79
u_0129,python system music-and-art public-health excel performance general hypothesis mobile-and-web-development sustainability,97,86,68
u_0130,difference security innovation digital testing,64,80,59
u_0131,optimization stock management graphics mechanical-engineering,96,89,69
u_0132,public-health marketing psychology training resource case economy video,54,91,73
u_0133,science marketing financial personal-development sustainability health general music platforms grammar,89,55,67
u_0134,leadership service medicine entrepreneurship policy,75,75,69
u_0135,java image programming thought finance model,82,62,73
u_0136,strategic modeling decision algorithms video,76,81,83
u_0137,business-essentials mathematical mine (economics) value databases deep euler's difference image,61,56,90
u_0138,interfaces psychology chemistry mathematical i-deas human,78,66,93
u_0139,evaluation value teaching basic-science personal-development,76,89,75
u_0140,media memory statistical platform design-and-product,99,96,72
u_0141,physics function investment learning-english databases accounting application image natural thinking,86,82,91
u_0142,testing psychology platforms entrepreneurship patient interfaces statistics public-health,63,83,87
u_0143,chain cryptography artificial mine supply,53,60,50
u_0144,hypothesis probability function performance data-science social-sciences disease presentation,71,83,93
u_0145,planning music product difference programming corporate software-development,75,94,58
u_0146,operations algorithms cloud deep user neural case excel,54,74,79
u_0147,probability writing music-and-art international mechanical supply chain computer-security-and-networks,74,50,73
u_0148,grammar mechanical-engineering data-science electrical-engineering strategy english service javascript general experience,59,83,79
u_0149,finance information planning materials mine science arts-and-humanities excel statistical leadership,63,68,62
u_0150,economics development public sales plan,74,86,63
u_0151,data-analysis euler's flow public-health linear environmental-science-and-sustainability information-technology machine-learning,81,68,65
u_0152,writing (computer supply electrical-engineering environmental-science-and-sustainability entrepreneurship,73,62,68
u_0153,philosophy software-development statistics strategic html pair governance-and-society type,60,98,75
u_0154,microsoft general behavior natural social,66,77,73
u_0155,science accounting platform statistical html,72,82,84
u_0156,child digital difference biology energy interfaces databases process,68,68,71
u_0157,supply patient sales cost public virtual,47,56,91
u_0158,learning graphics processing evaluation analysis linear javascript,94,72,81
u_0159,computer medicine cryptography video general experience game analytics materials psychology,78,100,88
u_0160,digital behavior economy corporate graphics environmental-science-and-sustainability education computer-security-and-networks communication,73,63,55
u_0161,decision language java music computer-science design-and-product control syntax health finance,77,65,57
u_0162,economics i-deas value network regression health mechanical-engineering,67,62,95
u_0163,flow disease (economics) arts-and-humanities pair databases public,85,74,92
u_0164,neural history microsoft cloud software-development economy model behavior memory international,75,64,93
u_0165,visualization control finance processing programming user learning-english market,81,62,72
u_0166,theory international i-deas user philosophy supply html plan,64,58,86
u_0167,international statistics deep project electrical-engineering,97,58,81
u_0168,economics (computer analytics decision software materials strategic virtual biology,67,69,67
u_0169,thought history education design data-science biology performance communication english learning-english,64,75,65
u_0170,architecture difference theory measurement cryptography platforms,78,74,72
u_0171,global platform cryptography average algorithms value operations planning physics,64,68,84
u_0172,thought business-strategy computer-science child theory systems science english resource,81,63,76
u_0173,javascript theory natural decision sales,84,54,81
u_0174,processing evaluation psychology market difference,67,81,65
u_0175,hypothesis change medical html brand,53,55,75
u_0176,computer application euler's social-sciences linear,78,64,82
u_0177,strategy image research platform systems statistics,55,74,60
u_0178,data-analysis brand management evaluation health mechanical-engineering digital,67,75,64
u_0179,physical-science-and-engineering hypothesis project health programming sales,70,87,68
u_0180,platform testing data network user marketing,85,61,81
u_0181,electronics global product history cryptography software,92,45,65
u_0182,investment resource stock presentation process culture disease analytics,81,72,79
u_0183,design average graphics database biology governance-and-society medical leadership engineering,67,76,73
u_0184,mobile-and-web-development networks javascript process physics classification science life-sciences,89,78,79
u_0185,testing medicine data-analysis software social-sciences,70,69,69
u_0186,case materials philosophy sustainability classification economics supply,79,69,78
u_0187,flow public difference basic-science tensorflow interface planning virtual history,99,85,71
u_0188,probability image corporate systems interface culture experience public-health neural difference,89,70,50
u_0189,value average communication innovation networks type pair plan,62,52,70
u_0190,javascript artificial strategy finance machine interface,75,95,78
u_0191,cryptography electronics plan health visualization,72,84,48
u_0192,platform cloud-computing music-and-art measurement market,77,84,57
u_0193,game type solving problem corporate marketing general chemistry,88,79,70
u_0194,game python cost basic-science change algorithms graphics,82,100,77
u_0195,model process google visualization theory history business-strategy patient,77,69,64
u_0196,networks cloud-computing case personal international medical,84,64,75
u_0197,project medicine graphics excel personal-development leadership information-technology (economics) virtual,69,80,79
u_0198,neural google business information-technology software-development linear graphics,87,68,71
u_0199,strategy software-development electronics materials leadership finance i-deas flow,63,69,79
u_0200,thinking global difference teaching social theory,84,63,85
u_0201,corporate economics test brand machine marketing algorithms,91,79,97
u_0202,economy electrical-engineering computer international writing (economics),65,60,53
u_0203,hypothesis problem grammar medicine science value (economics) systems,92,82,74
u_0204,history accounting interface physical-science-and-engineering media behavior presentation grammar product,78,61,100
u_0205,internet design analytics processing chemistry development business financial biology change,76,76,83
u_0206,pair business-essentials economics modeling business video,80,77,65
u_0207,interface network health supply mechanical mine experience disease cloud-computing measurement,80,97,91
u_0208,life-sciences processing electronics language information data governance-and-society,94,68,63
u_0209,innovation cost networks patient optimization,73,75,88
u_0210,html value business-essentials history optimization learning economics machine-learning electrical-engineering governance-and-society,54,93,73
u_0211,resource security information process euler's platform mobile-and-web-development product writing processing,69,62,55
u_0212,cryptography neural analytics application machine-learning cloud mathematical,84,75,59
u_0213,history flow mathematical leadership-and-management google average decision data-analysis english python,59,70,95
u_0214,pair energy network tensorflow algorithms operations,71,56,72
u_0215,computing computer-security-and-networks performance strategic economy,71,42,74
u_0216,design-and-product investment environmental-science-and-sustainability linear medical materials case testing computer-security-and-networks,72,83,97
u_0217,function music strategy deep science service biology,88,71,61
u_0218,presentation development game basic-science life-sciences java strategic,100,75,75
u_0219,data-science development theory general cloud decision finance personal,74,77,73
u_0220,basic-science interfaces strategic design-and-product image electronics language culture patient,68,68,74
u_0221,psychology testing tensorflow artificial disease function engineering culture python teaching,68,66,76
u_0222,machine basic-science decision network language totient policy music product database,71,93,43
u_0223,social control plan media architecture thought neural behavior chemistry,88,89,50
u_0224,service decision application software music-and-art,70,70,58
u_0225,visualization behavior interfaces media digital,65,61,96
u_0226,graphics tensorflow function application writing philosophy hypothesis software-development google java,86,90,83
u_0227,platforms hypothesis language-learning health brand policy machine java cloud-computing thinking,61,68,80
u_0228,music-and-art social-sciences measurement virtual electronics javascript product finance decision problem,60,83,72
u_0229,resource data java information-technology change teaching grammar leadership-and-management model,70,83,80
u_0230,algorithms cloud public planning basic-science mechanical-engineering,70,88,62
u_0231,product data-science hypothesis neural electrical-engineering health brand thinking algorithms system,82,82,71
u_0232,excel case arts-and-humanities corporate music design,78,59,86
u_0233,control behavior corporate english science (computer media solving,72,68,87
u_0234,investment statistics mechanical entrepreneurship java deep leadership-and-management theory behavior patient,66,58,56
u_0235,strategic media supply disease flow global system regression,82,59,96
u_0236,education digital marketing medical databases plan image python classification,50,95,77
u_0237,market media machine system (economics) culture stock data-analysis information,73,68,79
u_0238,analytics culture google project value,74,88,76
u_0239,processing disease plan english interfaces,76,70,74
u_0240,plan model leadership chain planning,78,54,58
u_0241,probability application data-analysis education data-science general deep platforms mine investment,83,77,72
u_0242,business writing data pair systems function sustainability average medicine,75,79,68
u_0243,problem physical-science-and-engineering general english biology market computer entrepreneurship global,65,77,63
u_0244,case governance-and-society software physical-science-and-engineering video brand learning-english data service stock,79,54,87
u_0245,entrepreneurship speech software-development business-essentials networks management personal game patient,80,78,86
u_0246,risk type measurement machine product resource strategy natural,94,87,52
u_0247,basic-science image learning architecture deep design materials plan digital,59,67,75
u_0248,data sales strategy accounting entrepreneurship syntax graphics computer-security-and-networks python design-and-product,81,66,77
u_0249,economy application human design game natural neural medical network javascript,65,67,58
u_0250,platforms relative service information-technology human software speech governance-and-society,63,58,63
u_0251,public regression design language innovation,87,63,100
u_0252,stock processing natural artificial digital data-science solving,80,77,64
u_0253,psychology general sales computer operations music-and-art (economics) market theory information,83,68,76
u_0254,cryptography music interfaces neural risk video excel theory,100,73,88
u_0255,personal-development machine average problem writing interface tensorflow information-technology natural,66,74,96
u_0256,testing python writing economics hypothesis public internet,67,96,83
u_0257,tensorflow speech networks arts-and-humanities child science google investment,68,82,86
u_0258,average game personal information evaluation,82,56,66
u_0259,development cloud measurement html optimization control stock i-deas behavior social,72,74,82
u_0260,software-development medicine behavior music computer-science,77,58,79
u_0261,strategy english decision control resource interfaces,82,81,87
u_0262,computer-science tensorflow algorithms behavior culture theory plan science cloud,85,80,74
u_0263,education flow control processing innovation probability business-strategy totient history,55,80,77
u_0264,time risk video training architecture,78,59,62
u_0265,modeling user ordered mine investment change (computer general excel,87,74,83
u_0266,regression market human life-sciences culture network classification science,75,75,86
u_0267,environmental-science-and-sustainability chain type accounting policy,68,76,69
u_0268,sustainability mechanical-engineering business-essentials statistical social,69,71,77
u_0269,policy virtual html network resource mathematical model market regression education,69,90,64
u_0270,performance project resource image patient theory,72,69,92
u_0271,image health (computer security software java processing speech,77,87,57
u_0272,relative product public-health thought cost life-sciences social-sciences chain medical culture,78,85,75
u_0273,environmental-science-and-sustainability training accounting social-sciences image html platform information-technology,87,68,91
u_0274,interface disease development market training algorithms,100,70,69
u_0275,arts-and-humanities system testing policy model accounting training,92,93,68
u_0276,writing digital energy materials image evaluation social-sciences,69,71,58
u_0277,biology personal mechanical finance disease medical machine-learning presentation design-and-product algorithms,63,62,65
u_0278,graphics case corporate tensorflow neural linear,74,77,93
u_0279,leadership writing design medical cost,63,86,72
u_0280,probability research patient value electrical-engineering html leadership,74,83,61
u_0281,computer-security-and-networks natural business-essentials medical biology databases euler's javascript,79,76,80
u_0282,statistical difference life-sciences child engineering social music value,78,100,67
u_0283,strategic financial teaching medicine software-development innovation speech chain,68,67,68
u_0284,accounting mobile-and-web-development health theory stock cloud-computing process chain entrepreneurship microsoft,67,89,92
u_0285,personal-development culture totient software-development communication,68,65,80
u_0286,business-essentials interfaces personal global totient,68,82,77
u_0287,economics cost corporate innovation psychology social,56,93,96
u_0288,stock microsoft video internet learning finance language-learning basic-science,67,70,78
u_0289,entrepreneurship systems philosophy game computer media performance brand,79,82,99
u_0290,international deep general learning-english analysis process interface human user average,72,65,58
u_0291,optimization control design mobile-and-web-development marketing test cloud-computing,66,74,96
u_0292,resource image general life-sciences interfaces basic-science,68,77,74
u_0293,sustainability business-strategy case environmental-science-and-sustainability (computer modeling social-sciences communication,89,100,68
u_0294,plan neural visualization control economy software-development energy tensorflow,69,87,83
u_0295,mobile-and-web-development disease language design data-science education classification application artificial,97,82,70
u_0296,difference function medicine stock education economics (computer chain system,82,88,84
u_0297,personal electronics statistical presentation neural basic-science mathematical mechanical,81,87,89
u_0298,policy linear statistical artificial data theory music-and-art international,91,82,72
u_0299,value philosophy internet memory child,76,89,65
u_0300,project brand artificial user operations design-and-product cost experience corporate marketing,79,70,75
u_0301,relative machine-learning product service corporate electrical-engineering supply data-analysis environmental-science-and-sustainability,90,77,75
u_0302,computer-science patient virtual physical-science-and-engineering psychology data,58,83,82
u_0303,innovation global function public-health child financial disease (computer,100,71,77
u_0304,time average engineering mine education training research cloud-computing,77,93,73
u_0305,hypothesis relative product thinking innovation network governance-and-society,78,82,77
u_0306,teaching natural game behavior corporate environmental-science-and-sustainability medical excel user,69,77,87
u_0307,databases leadership-and-management totient business-strategy visualization statistical model general mine,62,76,66
u_0308,child mine physics chain relative google,89,56,68
u_0309,corporate evaluation general market patient behavior natural supply processing,79,93,74
u_0310,data-analysis business-essentials language general classification writing accounting,68,97,57
u_0311,operations pair i-deas relative change regression learning-english (economics),48,80,68
u_0312,platforms (economics) education process personal electronics platform entrepreneurship euler's,62,83,77
u_0313,measurement flow model html statistics,68,59,85
u_0314,planning public-health music-and-art speech deep,82,73,97
u_0315,environmental-science-and-sustainability education business sustainability social,62,56,66
u_0316,operations artificial relative probability regression economy general testing,74,77,72
u_0317,decision engineering security probability patient statistics mechanical,79,59,92
u_0318,memory data-science network value computing processing performance risk i-deas business-essentials,74,88,79
u_0319,analysis statistical test tensorflow process,80,81,80
u_0320,media difference medical natural product performance human,82,90,77
u_0321,microsoft (economics) leadership-and-management physical-science-and-engineering music-and-art system syntax governance-and-society decision,83,73,92
u_0322,speech risk programming time neural public test,66,96,74
u_0323,economy leadership-and-management network (computer html optimization networks stock economics security,57,76,66
u_0324,measurement communication risk education relative testing totient business,85,67,69
u_0325,interfaces english investment solving personal-development music-and-art biology,52,69,45
u_0326,memory patient analysis ordered operations resource excel english engineering,55,84,84
u_0327,modeling microsoft internet social optimization javascript disease mine java child,80,63,74
u_0328,html public theory personal analytics,74,61,93
u_0329,human relative algorithms difference i-deas medicine,85,72,75
u_0330,value virtual sustainability deep economy learning-english type,77,50,72
u_0331,totient environmental-science-and-sustainability economy brand writing product,66,62,71
u_0332,flow mine resource cloud linear physical-science-and-engineering engineering sustainability,96,82,68
u_0333,regression patient learning-english function arts-and-humanities economics database science history,81,91,86
u_0334,financial speech philosophy physics finance mathematical investment development difference health,75,67,83
u_0335,value difference linear development cloud-computing strategic international internet memory,79,85,82
u_0336,processing pair management cryptography systems,87,68,90
u_0337,life-sciences design problem accounting virtual software mechanical-engineering engineering strategy,77,99,66
u_0338,computer-science general thought information-technology human medical average decision,95,77,67
u_0339,plan supply investment thinking writing environmental-science-and-sustainability hypothesis mechanical-engineering,69,71,80
u_0340,operations google modeling computing learning-english language-learning,81,68,74
u_0341,social-sciences average model management economy learning statistical strategic international,100,95,80
u_0342,natural problem mechanical supply experience totient governance-and-society accounting algorithms evaluation,75,76,82
u_0343,memory physical-science-and-engineering computer-science hypothesis global personal,62,71,54
u_0344,entrepreneurship financial strategy planning brand,79,82,69
u_0345,investment chemistry international mine computer,93,60,57
u_0346,electronics design mobile-and-web-development music statistics mechanical-engineering,77,87,95
u_0347,economy development education disease business-essentials statistics,69,87,74
u_0348,cost chain chemistry international testing english biology software-development hypothesis database,72,85,82
u_0349,public-health statistical evaluation engineering visualization presentation,56,92,91
u_0350,network computer-security-and-networks behavior networks visualization performance computer accounting medical measurement,67,79,80
u_0351,product chain platforms value thought function statistical thinking,78,68,66
u_0352,economy learning-english artificial entrepreneurship model statistical,74,89,81
u_0353,software-development strategic development cloud-computing public-health value visualization flow human architecture,70,84,40
u_0354,pair financial music-and-art decision writing culture,88,54,70
u_0355,finance learning-english memory psychology marketing personal-development thinking,61,59,88
u_0356,tensorflow language life-sciences psychology platform memory measurement cloud-computing systems relative,69,79,74
u_0357,application biology programming change psychology electronics,80,75,59
u_0358,i-deas economy relative euler's platforms,86,69,56
u_0359,mine financial processing entrepreneurship image testing media supply microsoft,69,93,85
u_0360,probability sales internet ordered resource stock video microsoft planning,70,70,71
u_0361,deep chain financial theory innovation public-health design linear analytics electronics,99,79,80
u_0362,data ordered image philosophy design-and-product corporate,87,77,71
u_0363,public algorithms energy music-and-art experience supply test euler's,72,74,74
u_0364,sustainability operations javascript neural pair physics memory medical,83,75,83
u_0365,physics governance-and-society machine-learning syntax game education corporate natural risk mechanical-engineering,74,75,51
u_0366,engineering product computer-science cloud measurement computer business public-health education service,85,79,86
u_0367,strategy policy function analysis systems basic-science,40,100,73
u_0368,plan engineering electrical-engineering html type personal databases graphics,88,62,82
u_0369,data business mechanical image public-health programming flow corporate,62,67,97
u_0370,learning-english general data disease platforms international interface,72,77,85
u_0371,process communication product function entrepreneurship leadership-and-management,80,76,79
u_0372,product digital game personal-development processing writing plan optimization governance-and-society,100,74,77
u_0373,euler's platforms model statistical javascript writing operations probability computer-science,87,88,89
u_0374,optimization supply thinking image artificial,82,61,94
u_0375,html analysis virtual machine-learning machine,61,78,65
u_0376,information decision music-and-art linear communication flow language experience,74,78,78
u_0377,excel test artificial (economics) design cloud,80,94,80
u_0378,business-strategy natural linear graphics computer-science computing innovation data research platform,72,86,89
u_0379,solving classification processing cloud statistical system,60,82,83
u_0380,entrepreneurship test architecture behavior mechanical-engineering music-and-art interfaces economy electronics,71,91,73
u_0381,child memory writing disease cryptography accounting,76,72,75
u_0382,planning information statistics cloud teaching,61,57,94
u_0383,personal brand processing economics leadership materials (economics) culture physics,64,63,49
u_0384,sales image thinking interface risk environmental-science-and-sustainability,67,59,94
u_0385,hypothesis supply machine electrical-engineering public totient classification life-sciences personal-development,87,66,100
u_0386,supply classification materials algorithms electronics architecture,86,71,45
u_0387,resource process finance business internet science (economics),100,58,55
u_0388,health security risk interface investment,87,100,91
u_0389,visualization stock thought python project security game image finance,81,82,85
u_0390,chemistry economics interfaces programming business-essentials public-health architecture machine memory,84,78,76
u_0391,euler's patient database machine-learning javascript supply education personal-development biology,74,65,71
u_0392,performance data-analysis software arts-and-humanities information evaluation global,54,73,63
u_0393,databases cloud resource digital totient corporate computer-security-and-networks,61,77,91
u_0394,brand personal energy governance-and-society process human biology business,86,56,63
u_0395,application electrical-engineering supply music-and-art music interface probability brand,86,63,72
u_0396,statistical testing tensorflow excel regression relative,81,63,76
u_0397,computing processing chain business-essentials time excel materials,58,67,78
u_0398,cost euler's economics thinking business-strategy language-learning control history,55,80,74
u_0399,regression presentation natural information-technology environmental-science-and-sustainability sustainability project average strategic,81,77,91
u_0400,research music business-essentials excel strategy thought international video education materials,76,69,76
u_0401,entrepreneurship digital graphics algorithms speech problem thinking,81,75,75
u_0402,investment chemistry relative philosophy mobile-and-web-development,66,67,58
u_0403,basic-science excel global natural data-science resource virtual learning-english brand,95,60,66
u_0404,machine process totient graphics type game arts-and-humanities decision (computer design,66,85,71
u_0405,decision behavior mobile-and-web-development solving music-and-art interface process analysis planning,89,66,78
u_0406,analytics mathematical i-deas training visualization design-and-product child,64,100,60
u_0407,analytics investment plan language-learning strategic behavior platform child disease,78,82,79
u_0408,accounting project databases python public value,72,73,75
u_0409,history average software-development google java,73,86,100
u_0410,difference financial database databases google artificial communication,68,58,73
u_0411,corporate platforms culture chain strategy statistical design policy,100,65,94
u_0412,learning teaching decision process behavior,95,68,81
u_0413,electronics euler's training network image social,94,70,72
u_0414,cloud-computing networks strategic statistics optimization service risk,68,62,67
u_0415,html graphics interface processing leadership time,60,75,65
u_0416,energy culture presentation networks architecture business mine change financial,77,56,78
u_0417,solving mine software cost python learning-english risk,85,51,79
u_0418,economics energy governance-and-society history user measurement physics,89,60,95
u_0419,html innovation brand architecture (computer language-learning platform history google,80,66,74
u_0420,governance-and-society electrical-engineering network international mine statistical personal,81,75,81
u_0421,machine international human innovation modeling entrepreneurship internet history information-technology,63,77,58
u_0422,excel software-development mathematical architecture global brand education,73,64,66
u_0423,interfaces problem risk grammar materials learning-english excel decision network,89,88,82
u_0424,arts-and-humanities physics general education risk innovation culture electrical-engineering marketing,61,71,89
u_0425,analysis grammar human leadership-and-management interfaces cloud-computing basic-science,76,100,79
u_0426,performance thought javascript physics value policy science arts-and-humanities machine linear,77,71,76
u_0427,analytics business-essentials computer-science evaluation model,73,83,86
u_0428,general machine-learning governance-and-society linear cryptography performance sustainability mathematical physical-science-and-engineering,65,59,52
u_0429,history personal-development natural control mechanical-engineering economy language corporate music,81,61,49
u_0430,systems problem python time operations solving totient statistical computer-science,79,100,74
u_0431,user google security music modeling english research time,85,75,73
u_0432,child google policy (computer service networks arts-and-humanities personal education,86,71,78
u_0433,financial engineering test google mechanical business-strategy,78,66,86
u_0434,learning-english machine-learning testing mine business-essentials patient personal-development stock behavior,72,65,81
u_0435,human solving public-health engineering evaluation,64,75,74
u_0436,social-sciences virtual health totient data-analysis classification testing behavior language-learning physics,88,80,74
u_0437,cost service personal-development computer-security-and-networks value thinking,84,91,81
u_0438,cloud materials finance optimization stock i-deas business-strategy excel,75,59,62
u_0439,difference grammar economics design-and-product management syntax finance,71,67,72
